transect	time	cluster	week	mean	sd	normalMean	normalSD	distanceTenX
1	control	pm	cl1	34	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582828	0.0294117647058823
2	control	pm	cl1	32	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582828	0.0294117647058823
3	control	pm	cl1	31	0	0	0	0	0
4	control	pm	cl1	30	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582828	0.0294117647058823
5	control	pm	cl1	29	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582828	0.0294117647058823
6	control	pm	cl1	28	0.333333333333333	0.554700196225229	0.264705882352941	0.443532762572744	0.264705882352941
7	control	pm	cl1	27	0.111111111111111	0.333333333333333	0.0882352941176471	0.266530019634037	0.0882352941176471
8	control	pm	cl1	26	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582827	0.0294117647058823
9	control	pm	cl1	25	0.185185185185185	0.39584739066357	0.147058823529412	0.316515638416931	0.147058823529412
10	control	pm	cl1	24	0.888888888888889	1.25064086135971	0.705882352941176	1	0.705882352941176
11	control	pm	cl1	23	0.296296296296296	0.541707756495413	0.235294117647059	0.433144136923898	0.235294117647059
12	control	pm	cl2	34	0	0	0	0	0
13	control	pm	cl2	32	0	0	0	0	0
14	control	pm	cl2	31	0.0833333333333333	0.280305955290694	0.0661764705882353	0.224129855301499	0.0661764705882353
15	control	pm	cl2	30	0.138888888888889	0.350736187206101	0.110294117647059	0.280445168587228	0.110294117647059
16	control	pm	cl2	29	0.0833333333333333	0.280305955290694	0.0661764705882353	0.224129855301499	0.0661764705882353
17	control	pm	cl2	28	0.0555555555555556	0.232310684145723	0.0441176470588235	0.185753313619669	0.0441176470588235
18	control	pm	cl2	27	0.166666666666667	0.389249472080762	0.132352941176471	0.311240008308672	0.132352941176471
19	control	pm	cl2	26	0.277777777777778	0.566246342712181	0.220588235294118	0.452764946522338	0.220588235294118
20	control	pm	cl2	25	0.444444444444444	0.734630886692453	0.352941176470588	0.587403553961729	0.352941176470588
21	control	pm	cl2	24	0.833333333333333	1	0.661764705882353	0.799590058902111	0.661764705882353
22	control	pm	cl2	23	0.472222222222222	0.774084200333755	0.375	0.618950031340061	0.375
23	control	pm	cl3	34	0.0740740740740741	0.266880256341812	0.0588235294117647	0.21339479988816	0.0588235294117647
24	control	pm	cl3	32	0.185185185185185	0.395847390663569	0.147058823529412	0.316515638416931	0.147058823529412
25	control	pm	cl3	31	0.037037037037037	0.192450089729875	0.0294117647058823	0.153881178582827	0.0294117647058823
26	control	pm	cl3	30	0.185185185185185	0.395847390663569	0.147058823529412	0.316515638416931	0.147058823529412
27	control	pm	cl3	29	0.222222222222222	0.506369683541833	0.176470588235294	0.404888165089458	0.176470588235294
28	control	pm	cl3	28	0.222222222222222	0.506369683541833	0.176470588235294	0.404888165089458	0.176470588235294
29	control	pm	cl3	27	0.111111111111111	0.333333333333333	0.0882352941176471	0.266530019634037	0.0882352941176471
30	control	pm	cl3	26	0.259259259259259	0.52569313896348	0.205882352941176	0.420339007948244	0.205882352941176
31	control	pm	cl3	25	0.333333333333333	0.554700196225229	0.264705882352941	0.443532762572744	0.264705882352941
32	control	pm	cl3	24	1.25925925925926	1.12975806098176	1	0.903343314525544	1
33	control	pm	cl3	23	0.37037037037037	0.629294363562392	0.294117647058823	0.50317751722762	0.294117647058823
